Name,City,Price,Rating,Stars,Reviews,Location,Cleanliness,staff,Comfort,Value for Money,Facilities,Wifi,Closest attraction dist,Closest transportation,Closest airport,payment methods,Number of languages,Allowing pets
The Robey,Chicago,"1,165",8.5,4,329,9.2,9.2,8.9,9.0,7.8,8.8,8.7,3.6,100,15,4.0,2.0,False
Sheraton Grand Chicago Riverwalk,Chicago,"1,609",7.9,4,916,9.3,8.3,8.4,8.4,7.4,8.1,6.9,800,650,16,7.0,6.0,True
Hilton Garden Inn Chicago Downtown Riverwalk,Chicago,"1,419",8.4,3,"1,127",9.5,8.9,8.9,8.9,8.3,8.4,8.0,550,250,15,6.0,2.0,False
Hampton Inn Chicago McCormick Place,Chicago,"1,855",8.3,3,708,8.8,8.9,8.7,8.9,8.0,8.7,8.3,1.7,300,13,6.0,1.0,True
SpringHill Suites Chicago Downtown/River North,Chicago,"1,302",8.2,3,618,9.1,8.7,8.8,8.6,8.0,8.4,8.5,900,250,15,7.0,1.0,False
"Kimpton Gray  Chicago, an IHG Hotel",Chicago,"2,229",8.3,4,174,9.0,8.9,9.0,9.0,7.9,8.5,,800,200,15,6.0,1.0,True
Hilton Garden Inn Chicago Downtown/Magnificent Mile,Chicago,"1,356",7.5,3,"1,390",8.9,8.0,7.8,8.1,7.4,7.6,7.5,700,50,16,9.0,2.0,True
Majestic ,Chicago,"1,027",8.1,3,524,9.2,8.5,9.2,8.6,8.1,8.1,7.6,3.3,850,20,6.0,2.0,False
 Felix,Chicago,"1,481",7.5,4,"2,767",9.0,7.9,8.3,8.0,7.4,7.5,8.2,850,350,16,5.0,3.0,True
The Emily ,Chicago,"1,289",8.4,4,299,9.4,9.0,9.0,9.0,7.7,8.5,8.4,1.7,200,14,6.0,1.0,True
"Holiday Inn Chicago Midway Airport S, an IHG hotel",Chicago,976,7.7,3,510,8.0,8.4,8.2,8.4,7.6,8.1,8.1,13,2.2,3.2,7.0,2.0,False
