Name,City,Price,Rating,Stars,Reviews,Location,Cleanliness,staff,Comfort,Value for Money,Facilities,Wifi,Closest attraction dist,Closest transportation,Closest airport,payment methods,Number of languages,Allowing pets
SpringHill Suites by Marriott Atlanta Airport Gateway,Atlanta,855,8.4,3,213,9.1,8.9,8.7,8.9,8.0,8.6,8.6,13,1.2,2.8,7.0,1.0,False
" Indigo Atlanta Midtown, an IHG Hotel",Atlanta,617,7.8,3,374,9.0,8.5,8.7,8.5,7.7,8.1,8.2,1.3,300,14,6.0,1.0,True
Artmore ,Atlanta,546,6.5,3,416,8.1,7.2,7.8,7.4,6.7,6.5,7.3,1.4,150,13,4.0,1.0,True
Embassy Suites by Hilton Atlanta Midtown,Atlanta,643,7.7,3,451,8.9,8.5,8.0,8.5,7.7,8.3,7.7,1.7,1.1,13,8.0,1.0,True
Grand Hyatt Atlanta in Buckhead,Atlanta,804,8.6,4,453,9.4,9.1,9.1,9.0,8.3,9.0,8.3,6,400,7,6.0,2.0,True
La Quinta by Wyndham Atlanta Airport South,Atlanta,326,6.8,3,"1,425",7.7,7.4,7.7,7.4,7.2,7.2,8.0,14,2.1,2.9,4.0,1.0,True
"Holiday Inn Express Atlanta Airport-College Park, an IHG ",Atlanta,454,7.5,3,585,8.2,8.2,8.2,8.2,7.8,7.8,8.5,14,1.7,2.9,7.0,2.0,False
"Holiday Inn & Suites Atlanta Airport North, an IHG ",Atlanta,430,7.1,4,844,8.0,7.7,7.9,7.7,7.2,7.4,7.8,10,1.6,2.3,6.0,2.0,True
"Staybridge Suites Atlanta - Midtown, an IHG ",Atlanta,653,7.0,3,192,7.9,7.8,8.4,7.7,7.2,7.5,6.9,1.1,150,14,6.0,1.0,True
Hyatt Place Atlanta Downtown,Atlanta,455,7.5,3,847,8.2,8.2,8.4,8.2,7.6,7.8,7.5,900,300,15,7.0,1.0,True
Residence Inn by Marriott Atlanta Midtown/Georgia Tech,Atlanta,684,8.1,3,165,8.8,8.5,8.9,8.6,7.7,8.2,7.8,1.6,300,13,9.0,2.0,True
Drury Inn & Suites Atlanta Airport,Atlanta,448,8.2,3,871,8.8,8.6,8.8,8.6,8.2,8.4,9.0,12,1.9,2.3,6.0,1.0,True
Hilton Atlanta Airport,Atlanta,644,7.6,4,"1,375",8.6,8.2,8.3,8.2,7.6,7.9,8.1,12,2.4,2.4,7.0,2.0,True
Days Inn by Wyndham Atlanta Marietta Ballpark,Atlanta,773,7.2,2,545,8.6,7.6,8.3,7.8,7.3,7.4,7.2,10,11,16,4.0,1.0,False
