Name,City,Price,Rating,Stars,Reviews,Location,Cleanliness,staff,Comfort,Value for Money,Facilities,Wifi,Closest attraction dist,Closest transportation,Closest airport,payment methods,Number of languages,Allowing pets
Hyatt House Miami Airport,Miami,584,8.3,3,503,8.7,8.6,8.7,8.6,8.0,8.3,8.4,7,2,1.7,7.0,2,True
"Holiday Inn Express & Suites Miami Airport East, an IHG ",Miami,436,7.6,3,"2,144",8.4,8.3,8.1,8.4,7.7,8.0,8.2,6,600,2.5,6.0,2,False
"InterContinental at Doral Miami, an IHG ",Miami,680,8.2,4,"1,036",8.5,8.5,8.6,8.5,7.8,8.3,8.4,6,5,4.9,3.0,2,False
Hampton Inn Miami Airport East,Miami,494,8.2,3,"1,378",8.4,8.6,8.4,8.7,7.9,8.4,8.1,6,1.1,2.7,8.0,3,False
Fairfield Inn & Suites by Marriott Miami Airport South,Miami,461,7.6,3,523,8.4,8.2,8.1,8.2,7.4,7.8,8.4,7,1.6,3,7.0,6,False
Comfort Inn & Suites Downtown Brickell-Port of Miami,Miami,417,7.9,2,"2,662",8.8,8.5,8.2,8.6,7.9,8.0,7.2,2.3,50,2,5.0,2,False
 Arya BW Premier Collection,Miami,476,7.5,4,"1,292",9.0,8.0,8.1,8.0,7.4,7.7,8.1,7,1.5,9,7.0,1,False
DoubleTree by Hilton  Miami Airport & Convention Center,Miami,581,7.0,3,534,7.9,7.4,7.7,7.4,6.9,7.2,6.8,7,3.9,3.1,7.0,6,True
SLS Brickell,Miami,"1,229",8.1,5,413,9.2,8.7,8.6,8.7,7.8,8.5,7.7,2.2,100,3,6.0,2,False
Hampton Inn & Suites Miami Airport South/Blue Lagoon,Miami,537,8.4,3,783,8.7,8.8,8.8,8.8,8.1,8.5,8.1,6,2.2,2,7.0,2,False
Biltmore ,Miami,"1,165",8.5,5,899,9.0,9.0,8.5,9.0,7.9,8.7,8.3,2.6,2.6,6,5.0,3,True
Arlo Wynwood,Miami,787,8.6,4,47,8.9,9.1,9.0,9.2,8.2,9.0,8.3,2.8,1.1,2.5,4.0,2,True
Miami International Airport ,Miami,642,6.2,3,"5,151",9.0,6.8,7.0,6.9,5.6,6.0,7.8,8,200,900,4.0,2,False
Hampton Inn & Suites Miami-Doral Dolphin Mall,Miami,566,8.2,3,"1,058",8.5,8.3,8.5,8.4,8.0,8.2,8.4,7,7,10,6.0,2,True
Mint House Miami - Downtown,Miami,"1,185",8.8,8,165,9.3,9.1,8.1,9.2,8.3,8.9,8.3,2,150,1.7,5.0,1,
Hyatt Place Miami Airport-West/Doral,Miami,461,7.9,3,"1,477",8.5,8.1,8.6,8.2,7.8,7.8,8.2,8,4,4.3,9.0,3,True
YVE  Miami,Miami,770,7.4,3,"2,061",9.1,7.7,8.4,7.8,7.1,7.3,7.1,1.7,200,1.4,9.0,4,True
Courtyard by Marriott Miami West/FL Turnpike,Miami,508,8.2,3,"1,118",7.8,8.7,8.4,8.8,8.1,8.5,8.1,13,6,11,7.0,1,False
Wingate by Wyndham Miami Airport,Miami,448,8.0,3,"3,068",8.3,8.5,8.2,8.5,8.0,8.3,8.6,8,3.9,3.8,5.0,2,False
SpringHill Suites Miami Downtown/Medical Center,Miami,584,7.8,3,430,7.3,8.3,8.4,8.2,7.5,8.1,,2.7,400,3.3,7.0,2,True
"Motel 6-Miami, FL",Miami,247,6.9,2,"1,109",8.0,7.4,7.7,7.4,7.0,7.0,7.4,8,3.8,3.2,4.0,3,False
Hilton Garden Inn Miami Airport West,Miami,541,7.6,3,640,8.0,8.1,8.2,8.1,7.5,7.8,7.4,8,3.9,3.3,7.0,2,True
Miami Sun  - Downtown/Port of Miami,Miami,342,5.3,2,488,7.7,6.0,7.5,6.0,5.3,5.5,5.7,2,250,1.7,7.0,2,False
Courtyard Miami Downtown Brickell Area,Miami,873,8.0,3,984,8.8,8.3,8.4,8.4,7.7,8.0,8.4,2.1,100,1.8,9.0,3,False
Hampton Inn Miami-Coconut Grove/Coral Gables,Miami,606,8.4,3,"1,815",8.6,8.7,8.8,8.8,8.1,8.5,8.9,6,150,8,6.0,3,False
