Name,City,Price,Rating,Stars,Reviews,Location,Cleanliness,staff,Comfort,Value for Money,Facilities,Wifi,Closest attraction dist,Closest transportation,Closest airport,payment methods,Number of languages,Allowing pets
Sheraton Dallas  by the Galleria,Dallas,553,8.2,4,562,8.7,8.5,8.5,8.6,8.2,8.4,8.1,8,10,4.9,6.0,2,True
Residence Inn by Marriott Dallas Downtown,Dallas,552,8.9,3,245,9.3,9.2,9.0,9.3,8.9,9.0,,900,1.1,9,7.0,1,False
AC  by Marriott Dallas Downtown,Dallas,464,8.2,3,272,9.1,8.9,8.7,8.9,8.4,8.8,,900,1.1,9,6.0,1,False
Hyatt Place Dallas Park Central,Dallas,380,7.7,3,672,8.4,8.1,8.6,8.1,7.9,7.8,8.6,5,6,9,7.0,1,True
"Le Meridien Dallas, The Stoneleigh",Dallas,"1,139",8.4,4,69,9.1,8.8,8.8,8.7,8.0,8.6,9.6,2,1.1,7,7.0,2,True
La Quinta Inn by Wyndham Dallas Uptown,Dallas,307,5.0,3,543,7.1,5.6,7.1,5.8,5.8,5.4,6.9,3.8,3.9,7,9.0,2,True
"Hilton Garden Inn Dallas-Central Expy/North Park Area, Tx",Dallas,523,8.6,3,196,9.1,9.2,9.0,9.1,8.6,8.9,8.0,5,3.7,9,8.0,1,False
Fairfield by Marriott Inn & Suites Dallas East,Dallas,374,8.8,3,69,8.6,9.3,9.4,9.3,9.0,9.2,,7,10,16,5.0,1,
Comfort Suites NW Dallas Near Love Field,Dallas,216,7.3,3,825,7.7,7.9,7.9,7.9,7.9,7.6,8.0,10,2.8,4.3,4.0,2,False
"Holiday Inn Express & Suites Dallas Fair Park, an IHG ",Dallas,291,7.1,3,119,8.0,7.6,7.8,7.5,7.1,7.0,8.1,7,10,16,4.0,2,True
Drey ,Dallas,"2,061",9.5,0,41,9.7,9.8,9.3,9.8,9.5,9.7,8.5,6,3.8,8,4.0,1,False
Hampton Inn & Suites Dallas-Central Expy/North Park Area,Dallas,546,8.7,3,296,9.2,8.9,8.9,9.0,8.7,8.9,7.5,5,3.7,9,7.0,1,False
Baymont by Wyndham Dallas/ Love Field,Dallas,263,7.6,3,878,7.7,8.1,8.3,8.0,7.9,7.8,8.6,10,3,3.7,4.0,2,False
Sheraton Suites Market Center Dallas,Dallas,467,7.9,4,700,8.6,8.3,8.6,8.2,7.8,8.0,8.2,2.9,500,6,7.0,3,True
DoubleTree by Hilton  Dallas Campbell Centre,Dallas,426,8.4,3,559,8.9,8.8,8.9,8.8,8.4,8.5,,7,4.1,8,6.0,2,False
Renaissance Saint Elm Dallas Downtown ,Dallas,649,8.4,4,"1,122",8.9,9.0,8.9,9.1,8.5,8.6,8.8,900,1.3,9,5.0,1,True
Homewood Suites by Hilton Dallas Market Center,Dallas,450,8.4,3,115,8.9,8.7,8.7,8.8,8.2,8.5,7.5,5,700,4.2,5.0,1,True
